,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,DAYS_BIRTH,CNT_CHILDREN,DAYS_EMPLOYED,NAME_EDUCATION_TYPE,NAME_CONTRACT_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,NAME_INCOME_TYPE,CODE_GENDER
52811,545040.0,26509.5,450000.0,-14012,3,-1394.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,F
52935,918918.0,47047.5,742500.0,-17811,0,-1767.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,M
52948,203760.0,21006.0,180000.0,-11299,0,-1936.0,Secondary / secondary special,Cash loans,Civil marriage,Municipal apartment,Working,F
52968,590071.5,15565.5,492547.5,-12876,3,-2169.0,Secondary / secondary special,Cash loans,Married,House / apartment,State servant,F
52970,742500.0,24079.5,742500.0,-14081,0,-3705.0,Higher education,Cash loans,Married,House / apartment,Commercial associate,F
53061,630000.0,34177.5,630000.0,-8739,0,-399.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,F
53084,270000.0,13500.0,270000.0,-8421,0,-1622.0,Higher education,Revolving loans,Single / not married,House / apartment,Commercial associate,F
53098,675000.0,21775.5,675000.0,-18037,0,-10005.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,M
53100,610762.5,65907.0,562500.0,-14452,0,-1991.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,M
53128,244584.0,16474.5,193500.0,-15899,0,-6397.0,Secondary / secondary special,Cash loans,Married,House / apartment,Commercial associate,F
53274,450000.0,35685.0,450000.0,-18075,0,-835.0,Secondary / secondary special,Cash loans,Married,Municipal apartment,State servant,F
53281,904500.0,88245.0,904500.0,-18658,0,-2875.0,Secondary / secondary special,Cash loans,Separated,House / apartment,Working,F
53320,450000.0,29227.5,450000.0,-11137,1,-361.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,M
53416,76410.0,9198.0,67500.0,-11846,1,-423.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,F
53448,247500.0,12375.0,247500.0,-14441,2,-5125.0,Higher education,Revolving loans,Civil marriage,House / apartment,State servant,M
53457,117000.0,7816.5,117000.0,-12519,2,-3494.0,Secondary / secondary special,Cash loans,Married,House / apartment,Commercial associate,F
53614,640080.0,29970.0,450000.0,-15006,0,-191.0,Secondary / secondary special,Cash loans,Civil marriage,House / apartment,Commercial associate,F
53618,646920.0,19044.0,540000.0,-11434,2,-3238.0,Secondary / secondary special,Cash loans,Civil marriage,House / apartment,Working,F
53698,387000.0,26176.5,387000.0,-19659,0,-1323.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,M
53717,1288350.0,37800.0,1125000.0,-19697,0,-3044.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,M
53725,1350000.0,39474.0,1350000.0,-14061,0,-347.0,Secondary / secondary special,Cash loans,Single / not married,House / apartment,Working,F
53747,760225.5,30280.5,679500.0,-12126,1,-945.0,Secondary / secondary special,Cash loans,Married,House / apartment,Commercial associate,F
53778,270000.0,13500.0,270000.0,-8260,0,-206.0,Incomplete higher,Revolving loans,Single / not married,House / apartment,Working,F
53806,180000.0,9000.0,180000.0,-12650,2,-841.0,Secondary / secondary special,Revolving loans,Married,House / apartment,Commercial associate,F
53867,1129500.0,31189.5,1129500.0,-13003,1,-5814.0,Secondary / secondary special,Cash loans,Married,House / apartment,State servant,F
54090,1144161.0,48604.5,981000.0,-13198,1,-2355.0,Secondary / secondary special,Cash loans,Married,House / apartment,Commercial associate,M
54114,1476000.0,40590.0,1476000.0,-16249,1,-3723.0,Higher education,Cash loans,Married,House / apartment,Working,F
54202,599472.0,28971.0,517500.0,-9824,0,-422.0,Secondary / secondary special,Cash loans,Single / not married,House / apartment,Working,M
54222,592560.0,22090.5,450000.0,-8703,0,-1262.0,Lower secondary,Cash loans,Single / not married,With parents,Commercial associate,M
54253,225000.0,11250.0,225000.0,-19113,0,-532.0,Secondary / secondary special,Revolving loans,Married,House / apartment,Commercial associate,F
54333,1288350.0,41692.5,1125000.0,-12797,1,-1861.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,F
54449,592560.0,31153.5,450000.0,-11426,0,-110.0,Secondary / secondary special,Cash loans,Single / not married,House / apartment,Working,F
54505,284400.0,10345.5,225000.0,-18823,0,-4124.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,M
54519,238500.0,12307.5,238500.0,-14152,0,-2477.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,M
54561,508500.0,24592.5,508500.0,-14289,0,-1282.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,F
54595,630000.0,31500.0,630000.0,-19314,0,-4028.0,Secondary / secondary special,Revolving loans,Married,House / apartment,Working,F
54619,247500.0,12375.0,247500.0,-19868,0,-4316.0,Secondary / secondary special,Revolving loans,Widow,House / apartment,Working,M
54752,900000.0,62770.5,900000.0,-15745,0,-5755.0,Secondary / secondary special,Cash loans,Married,House / apartment,Commercial associate,F
54808,825588.0,82620.0,765000.0,-9896,0,-3214.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,F
54870,704844.0,36117.0,630000.0,-23301,0,-3406.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,F
54906,270000.0,13500.0,270000.0,-9599,0,-1488.0,Secondary / secondary special,Revolving loans,Married,House / apartment,Working,M
54926,752553.0,27162.0,571500.0,-10967,1,-1848.0,Secondary / secondary special,Cash loans,Separated,House / apartment,Working,F
54929,497520.0,27909.0,450000.0,-16058,0,-2065.0,Secondary / secondary special,Cash loans,Separated,House / apartment,Working,F
55057,917172.0,29718.0,657000.0,-20513,0,-1723.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,F
55086,942300.0,30528.0,675000.0,-15708,2,-1512.0,Secondary / secondary special,Cash loans,Married,House / apartment,Commercial associate,M
55171,873342.0,25663.5,729000.0,-9971,1,-936.0,Higher education,Cash loans,Married,House / apartment,Working,F
55281,495000.0,21100.5,495000.0,-14658,1,-6356.0,Secondary / secondary special,Cash loans,Married,House / apartment,Commercial associate,F
55413,508495.5,20164.5,454500.0,-14450,2,-7581.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,F
55463,229230.0,15448.5,202500.0,-8727,0,-552.0,Higher education,Cash loans,Single / not married,House / apartment,Working,F
55545,614475.0,23292.0,432000.0,-19843,2,-220.0,Secondary / secondary special,Cash loans,Civil marriage,House / apartment,Commercial associate,F
55611,360000.0,17509.5,360000.0,-9763,1,-791.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,F
55787,1720224.0,59922.0,1485000.0,-13114,0,-3840.0,Higher education,Cash loans,Civil marriage,House / apartment,Commercial associate,F
55831,679500.0,64516.5,679500.0,-10997,0,-579.0,Higher education,Cash loans,Single / not married,House / apartment,Working,M
55846,239850.0,25447.5,225000.0,-11121,0,-3298.0,Incomplete higher,Cash loans,Civil marriage,House / apartment,Working,F
55867,247500.0,12375.0,247500.0,-10946,1,-726.0,Higher education,Revolving loans,Married,House / apartment,Working,F
55906,161730.0,7123.5,135000.0,-18366,0,-2671.0,Secondary / secondary special,Cash loans,Single / not married,House / apartment,Working,F
55922,54000.0,6237.0,54000.0,-11960,0,-1525.0,Higher education,Cash loans,Married,House / apartment,Working,F
55931,1256400.0,44644.5,900000.0,-23474,0,-6520.0,Secondary / secondary special,Cash loans,Married,House / apartment,Commercial associate,F
56064,375322.5,29601.0,324000.0,-22126,0,-5855.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,M
56085,508495.5,20295.0,454500.0,-15468,0,-2345.0,Secondary / secondary special,Cash loans,Civil marriage,House / apartment,Commercial associate,F
56106,993082.5,42205.5,913500.0,-13171,2,-3952.0,Secondary / secondary special,Cash loans,Married,House / apartment,Commercial associate,F
56186,49752.0,5220.0,45000.0,-14144,1,-1087.0,Secondary / secondary special,Cash loans,Married,Municipal apartment,Working,M
56192,675000.0,49531.5,675000.0,-15307,0,-3571.0,Incomplete higher,Cash loans,Married,House / apartment,Working,M
56193,90000.0,9823.5,90000.0,-10647,1,-884.0,Higher education,Cash loans,Married,House / apartment,Working,F
56195,270000.0,13500.0,270000.0,-15506,1,-2710.0,Secondary / secondary special,Revolving loans,Married,House / apartment,Working,M
56275,538704.0,26046.0,481500.0,-16502,0,-9279.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,F
56354,697500.0,29682.0,697500.0,-21390,0,-172.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,F
56357,1078200.0,31653.0,900000.0,-18255,2,-1020.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,M
56377,679500.0,52713.0,679500.0,-15730,1,-3344.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,F
56380,593010.0,19260.0,495000.0,-15600,0,-2337.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,F
56407,679500.0,45724.5,679500.0,-15105,1,-894.0,Higher education,Cash loans,Married,House / apartment,Working,F
56443,1223010.0,51948.0,1125000.0,-19464,0,-12830.0,Secondary / secondary special,Cash loans,Married,House / apartment,Commercial associate,F
56459,342000.0,9535.5,342000.0,-18080,0,-7908.0,Higher education,Cash loans,Separated,House / apartment,Working,F
56484,608076.0,28476.0,427500.0,-10609,0,-849.0,Higher education,Cash loans,Married,House / apartment,Working,M
56504,729792.0,26343.0,630000.0,-21812,0,-674.0,Secondary / secondary special,Cash loans,Single / not married,House / apartment,Working,F
56524,299250.0,8703.0,225000.0,-9710,0,-2027.0,Secondary / secondary special,Cash loans,Civil marriage,House / apartment,Working,F
56607,571446.0,18432.0,477000.0,-15876,0,-1441.0,Higher education,Cash loans,Single / not married,House / apartment,Commercial associate,F
56701,1350000.0,48492.0,1350000.0,-10062,0,-1596.0,Higher education,Cash loans,Separated,House / apartment,Commercial associate,F
56749,315666.0,23728.5,292500.0,-10197,0,-1516.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,M
56801,948582.0,30730.5,679500.0,-20123,0,-657.0,Lower secondary,Cash loans,Married,House / apartment,Working,M
56959,513531.0,24835.5,459000.0,-13848,2,-4055.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,F
57006,1762110.0,46480.5,1575000.0,-23028,0,-3513.0,Secondary / secondary special,Cash loans,Married,House / apartment,Commercial associate,F
57180,405000.0,20250.0,405000.0,-14763,0,-1065.0,Higher education,Revolving loans,Single / not married,House / apartment,Commercial associate,F
57313,264888.0,31563.0,234000.0,-9232,1,-652.0,Secondary / secondary special,Cash loans,Civil marriage,With parents,Working,F
57452,180000.0,9000.0,180000.0,-9008,0,-591.0,Higher education,Revolving loans,Single / not married,House / apartment,Working,M
57499,646920.0,25195.5,540000.0,-12071,1,-1389.0,Secondary / secondary special,Cash loans,Civil marriage,House / apartment,Commercial associate,F
57510,754740.0,24475.5,630000.0,-11846,1,-2877.0,Secondary / secondary special,Cash loans,Single / not married,With parents,Working,F
57517,298512.0,19075.5,270000.0,-12767,1,-1025.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,M
57629,1762110.0,48586.5,1575000.0,-19817,0,-4675.0,Secondary / secondary special,Cash loans,Married,House / apartment,Commercial associate,F
57651,52767.0,5346.0,49500.0,-12567,1,-1165.0,Secondary / secondary special,Cash loans,Single / not married,House / apartment,State servant,F
57724,395766.0,21600.0,283500.0,-16377,1,-2971.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,F
57826,403330.5,31995.0,333000.0,-19504,0,-10444.0,Higher education,Cash loans,Widow,House / apartment,Working,F
57844,601470.0,32629.5,450000.0,-14386,0,-1215.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,F
57848,753840.0,24448.5,540000.0,-19526,0,-4049.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,F
57867,1256400.0,44644.5,900000.0,-14325,0,-842.0,Secondary / secondary special,Cash loans,Married,House / apartment,Commercial associate,M
57878,942300.0,27549.0,675000.0,-21446,0,-4234.0,Higher education,Cash loans,Married,House / apartment,Working,F
57918,248760.0,25488.0,225000.0,-16788,0,-469.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,M
57935,180000.0,9000.0,180000.0,-15551,2,-3392.0,Secondary / secondary special,Revolving loans,Married,House / apartment,Working,M
57938,842076.0,84267.0,810000.0,-18720,0,-688.0,Secondary / secondary special,Cash loans,Married,Municipal apartment,State servant,M
57944,337500.0,18306.0,337500.0,-10842,1,-1650.0,Higher education,Cash loans,Married,House / apartment,Commercial associate,M
57952,1626174.0,44847.0,1453500.0,-13420,3,-2572.0,Higher education,Cash loans,Married,House / apartment,Commercial associate,F
58025,585000.0,29250.0,585000.0,-12435,0,-1090.0,Higher education,Revolving loans,Married,House / apartment,Working,F
58032,286704.0,22644.0,247500.0,-14806,0,-1820.0,Secondary / secondary special,Cash loans,Civil marriage,House / apartment,Working,F
58091,545040.0,25407.0,450000.0,-13431,2,-1990.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,M
58109,1060186.5,42043.5,909000.0,-20860,0,-4023.0,Secondary / secondary special,Cash loans,Married,House / apartment,State servant,F
58203,720000.0,36000.0,720000.0,-19083,0,-1711.0,Secondary / secondary special,Revolving loans,Civil marriage,Municipal apartment,Working,M
58208,760225.5,30150.0,679500.0,-16667,0,-7114.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,M
58359,296280.0,16069.5,225000.0,-11936,3,-1839.0,Secondary / secondary special,Cash loans,Civil marriage,House / apartment,Commercial associate,F
58360,780363.0,52362.0,697500.0,-15563,1,-1471.0,Secondary / secondary special,Cash loans,Married,House / apartment,Commercial associate,M
58445,1125000.0,37179.0,1125000.0,-11636,0,-1630.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,M
58498,83538.0,6592.5,67500.0,-9735,0,-389.0,Higher education,Cash loans,Single / not married,With parents,Working,M
58541,775327.5,30879.0,693000.0,-11515,1,-115.0,Secondary / secondary special,Cash loans,Married,House / apartment,Commercial associate,M
58585,431280.0,17694.0,360000.0,-9868,0,-651.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,M
58662,403330.5,18931.5,333000.0,-12044,0,-2867.0,Higher education,Cash loans,Married,House / apartment,Working,F
58698,439740.0,21285.0,315000.0,-9731,0,-201.0,Higher education,Cash loans,Single / not married,House / apartment,Commercial associate,F
58788,675000.0,28507.5,675000.0,-11951,1,-4537.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,F
58795,135000.0,14670.0,135000.0,-11307,0,-1030.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,M
58807,71955.0,8248.5,67500.0,-17718,1,-90.0,Lower secondary,Cash loans,Married,House / apartment,Working,M
58860,273708.0,30955.5,225000.0,-12026,2,-3246.0,Incomplete higher,Cash loans,Married,Municipal apartment,State servant,F
58982,755190.0,36328.5,675000.0,-14178,0,-2422.0,Incomplete higher,Cash loans,Married,House / apartment,Commercial associate,M
59105,1040985.0,30568.5,909000.0,-13891,3,-4850.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,F
59330,630000.0,18549.0,630000.0,-19459,0,-276.0,Higher education,Cash loans,Single / not married,House / apartment,Working,F
59333,814041.0,28971.0,679500.0,-14860,1,-1285.0,Higher education,Cash loans,Civil marriage,House / apartment,Commercial associate,M
59388,946764.0,40243.5,765000.0,-14244,0,-2410.0,Secondary / secondary special,Cash loans,Married,House / apartment,Commercial associate,F
59397,640080.0,31261.5,450000.0,-11290,0,-205.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,M
59539,1078200.0,38200.5,900000.0,-12765,2,-486.0,Secondary / secondary special,Cash loans,Married,House / apartment,Commercial associate,M
59559,414792.0,21307.5,315000.0,-15950,0,-745.0,Secondary / secondary special,Cash loans,Single / not married,House / apartment,Working,F
59567,307152.0,18918.0,243000.0,-19477,0,-2201.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,F
59599,454500.0,23206.5,454500.0,-13735,0,-2538.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,M
59622,452385.0,16380.0,373500.0,-20484,0,-1347.0,Secondary / secondary special,Cash loans,Married,Municipal apartment,Working,F
59648,1350000.0,37125.0,1350000.0,-16177,0,-2699.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,F
59664,397957.5,39361.5,378000.0,-13095,0,-2271.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,M
59667,440784.0,24741.0,360000.0,-14431,2,-4580.0,Higher education,Cash loans,Single / not married,House / apartment,Commercial associate,F
59813,212566.5,15466.5,175500.0,-10441,2,-204.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,F
59817,338832.0,26901.0,292500.0,-13762,0,-1490.0,Higher education,Cash loans,Single / not married,House / apartment,Working,F
59824,450000.0,20979.0,450000.0,-12716,1,-893.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,M
59826,450000.0,35554.5,450000.0,-22045,0,-395.0,Secondary / secondary special,Cash loans,Single / not married,House / apartment,Working,F
59831,776304.0,25042.5,648000.0,-20433,0,-1378.0,Secondary / secondary special,Cash loans,Single / not married,House / apartment,Working,M
59973,675000.0,27229.5,675000.0,-11148,2,-1082.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,F
59984,886500.0,25920.0,886500.0,-16253,0,-4151.0,Higher education,Cash loans,Separated,House / apartment,Working,F
59998,135000.0,6750.0,135000.0,-11881,1,-1113.0,Incomplete higher,Revolving loans,Married,House / apartment,Commercial associate,F
60002,254700.0,16713.0,225000.0,-12315,1,-1499.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,M
60029,486000.0,12951.0,486000.0,-8650,0,-396.0,Higher education,Cash loans,Single / not married,House / apartment,Commercial associate,F
60035,701730.0,68490.0,675000.0,-17585,1,-2933.0,Higher education,Cash loans,Married,House / apartment,Working,F
60054,1006920.0,51543.0,900000.0,-18224,0,-5621.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,M
60065,1314000.0,38421.0,1314000.0,-9930,0,-410.0,Secondary / secondary special,Cash loans,Civil marriage,House / apartment,Working,M
60164,946764.0,37678.5,765000.0,-12125,3,-2947.0,Higher education,Cash loans,Married,House / apartment,Commercial associate,F
60187,180000.0,9000.0,180000.0,-11987,1,-3283.0,Higher education,Revolving loans,Married,House / apartment,Working,F
60211,601677.0,29394.0,423000.0,-14612,1,-286.0,Secondary / secondary special,Cash loans,Civil marriage,Municipal apartment,Working,F
60220,700830.0,22738.5,585000.0,-13814,1,-505.0,Secondary / secondary special,Cash loans,Married,Rented apartment,Commercial associate,M
60243,180000.0,9000.0,180000.0,-12207,1,-1648.0,Secondary / secondary special,Revolving loans,Civil marriage,House / apartment,Working,M
